start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,transaction_type
2024-07-28 23:26:49.597165 +0000 UTC m=+49.597165,2024-07-28 23:26:50.656959 +0000 UTC m=+50.656959,1.059794,1000,943.5796013187469,1059.7939999999999,insertion
2024-07-28 23:26:55.662279 +0000 UTC m=+55.662279,2024-07-28 23:26:56.655957 +0000 UTC m=+56.655957,0.993678,1000,1006.3622219672772,993.678,insertion
2024-07-28 23:27:01.660595 +0000 UTC m=+1.660595,2024-07-28 23:27:02.712075 +0000 UTC m=+2.712075,1.05148,1000,951.0404382394339,1051.48,insertion
2024-07-28 23:27:07.717391 +0000 UTC m=+7.717391,2024-07-28 23:27:08.771880 +0000 UTC m=+8.771880,1.054489,1000,948.3266302446019,1054.489,insertion
2024-07-28 23:27:13.777239 +0000 UTC m=+13.777239,2024-07-28 23:27:14.703826 +0000 UTC m=+14.703826,0.926587,1000,1079.2294733252247,926.5870000000001,insertion
2024-07-28 23:27:19.709159 +0000 UTC m=+19.709159,2024-07-28 23:27:20.664690 +0000 UTC m=+20.664690,0.955531,1000,1046.5385215131691,955.5310000000001,insertion
2024-07-28 23:27:25.670042 +0000 UTC m=+25.670042,2024-07-28 23:27:26.715752 +0000 UTC m=+26.715752,1.04571,1000,956.2880722188753,1045.7099999999998,insertion
2024-07-28 23:27:31.721109 +0000 UTC m=+31.721109,2024-07-28 23:27:32.715277 +0000 UTC m=+32.715277,0.994168,1000,1005.8662117469079,994.168,insertion
2024-07-28 23:27:37.720629 +0000 UTC m=+37.720629,2024-07-28 23:27:38.832460 +0000 UTC m=+38.832460,1.111831,1000,899.4172675523528,1111.831,insertion
2024-07-28 23:27:43.837873 +0000 UTC m=+43.837873,2024-07-28 23:27:44.922458 +0000 UTC m=+44.922458,1.084585,1000,922.0116450070765,1084.5849999999998,insertion
2024-07-28 23:27:49.926603 +0000 UTC m=+49.926603,2024-07-28 23:27:49.938546 +0000 UTC m=+49.938546,0.011943,1000,83731.05584861425,11.943,deletion
2024-07-28 23:27:49.939002 +0000 UTC m=+49.939002,2024-07-28 23:27:50.945970 +0000 UTC m=+50.945970,1.006968,1000,993.0802170476121,1006.9680000000001,insertion
2024-07-28 23:27:55.951312 +0000 UTC m=+55.951312,2024-07-28 23:27:57.078044 +0000 UTC m=+57.078044,1.126732,1000,887.5224986953418,1126.732,insertion
2024-07-28 23:28:02.083401 +0000 UTC m=+2.083401,2024-07-28 23:28:03.271432 +0000 UTC m=+3.271432,1.188031,1000,841.7288774451172,1188.031,insertion
2024-07-28 23:28:08.276800 +0000 UTC m=+8.276800,2024-07-28 23:28:09.403367 +0000 UTC m=+9.403367,1.126567,1000,887.6524876017138,1126.567,insertion
2024-07-28 23:28:14.408720 +0000 UTC m=+14.408720,2024-07-28 23:28:15.500013 +0000 UTC m=+15.500013,1.091293,1000,916.3441898738469,1091.2930000000001,insertion
2024-07-28 23:28:20.505365 +0000 UTC m=+20.505365,2024-07-28 23:28:21.664424 +0000 UTC m=+21.664424,1.159059,1000,862.7688495581328,1159.059,insertion
2024-07-28 23:28:26.669817 +0000 UTC m=+26.669817,2024-07-28 23:28:27.757970 +0000 UTC m=+27.757970,1.088153,1000,918.9884143130608,1088.153,insertion
2024-07-28 23:28:32.763297 +0000 UTC m=+32.763297,2024-07-28 23:28:33.782327 +0000 UTC m=+33.782327,1.01903,1000,981.3253780556018,1019.0300000000001,insertion
2024-07-28 23:28:38.784629 +0000 UTC m=+38.784629,2024-07-28 23:28:39.853039 +0000 UTC m=+39.853039,1.06841,1000,935.9702735841109,1068.41,insertion
2024-07-28 23:28:44.858386 +0000 UTC m=+44.858386,2024-07-28 23:28:45.862283 +0000 UTC m=+45.862283,1.003897,1000,996.1181276565225,1003.897,insertion
2024-07-28 23:28:50.867648 +0000 UTC m=+50.867648,2024-07-28 23:28:50.879630 +0000 UTC m=+50.879630,0.011982,1000,83458.52111500585,11.982,deletion
2024-07-28 23:28:50.880084 +0000 UTC m=+50.880084,2024-07-28 23:28:51.897507 +0000 UTC m=+51.897507,1.017423,1000,982.8753625581494,1017.423,insertion
2024-07-28 23:28:56.902870 +0000 UTC m=+56.902870,2024-07-28 23:28:57.934985 +0000 UTC m=+57.934985,1.032115,1000,968.8842813058624,1032.1149999999998,insertion
2024-07-28 23:29:02.940324 +0000 UTC m=+2.940324,2024-07-28 23:29:03.975935 +0000 UTC m=+3.975935,1.035611,1000,965.613536356798,1035.611,insertion
